03/10/2011,08:30:00-10:30:00;06/10/2011,08:30:00-10:30:00	Curso	Curso sobre LUA -primeira parte	Grupo PET	Curso sobre a linguagem LUA usada para jogos e em TV digital (4 horas de duração - 2 encontros)	Laboratório 103 - Prédio 67
03/10/2011,10:30:00-12:30:00;04/10/2011,14:00:00-16:30:00;06/10/2011,14:00:00-16:30:00	Maratona de Programação	Maratona de programação de robôs virtuais - PRIMEIRA PARTE	Raul Weber	A maratona é um jogo de programação, onde o objetivo é desenvolver um tanque robô para batalhar contra outros tanques. O ambiente da competição é em java, mas a programação dos tanques é mais simples. Detalhes e maiores informações podem ser obtidas em http://robocode.sourceforge.net.	Laboratório 101 - Prédio 67
03/10/2011,10:30:00-11:30:00	Palestra	Por que eu quero ser Tester quando crescer ? 	Gabriel Oliveira	O cunho motivacional da palestra visa apresentar a platéia as oportunidades em teste de software ocultas nos emails da lista de graduação e nos confins das cadeiras da CiC. Vou contar como e porquê comecei na área de testes e dividir meus percalços e achados. 	Auditório Prof. Castilho (Verde)
03/10/2011,13:30:00-15:30:00	Palestra	Versionamento de código usando GIT	Lucas Zawacki	Este curso explorará a motivação por trás do versionamento de código (distribuído) juntamente com a apresentação da ferramenta Git e algumas lições práticas. Os tópicos abordados serão: * Versionamento de código; * Construindo nosso próprio sistema de versionamento ; * O software Git ; * Staging Area, Commit Checkout e Reset ; * Branches e Merges ; * Dicas interessantes e magia (stash, log, diff, patches); * Comparação com outros sistemas. O curso pode ou não incluir resquícios de piadinhas sem graça.	Labortório 101 - Prédio 67
03/10/2011,15:30:00-18:00:00	Coding Dojo	Dojo de programação	Lucas Zawacki e PET	O Coding Dojo é uma reunião de programadores para resolver um problema de maneira cooperativa e inclusiva, criando um programa usando técnicas de Test Driven Developent (TDD) e Pair Programming. Nenhum conhecimento prévio é exigido, só vontade de aprender e interagir com os presentes. 	Laboratório 101 - Prédio 67
04/10/2011,09:00:00-10:00:00	Palestra	Mentalmente Ágil 	Felipe Plets - SAP	Uma breve explicação sobre o manifesto ágil, as principais metodologias utilizadas atualmente e fatores que levam um projeto ao sucesso.	Auditório Prof. Castilho (Verde)
04/10/2011,10:30:00-12:30:00	Palestra	Mobilidade Internacional no Inf: intercâmbio na graduação	Nicolas Maillard	A palestra abordará as várias opções que os alunos dos cursos de Engenharia e Ciência da Computação podem encontrar no Inf para efetuar parte de sua graduação em centros de excelência no Exterior. Os casos da Alemanha e da França, onde se pode obter um duplo diploma, serão destacados, mas outras possibilidades serão apresentadas, por exemplo com Cingapura ou a América Latina.	Auditório Prof. Castilho (Verde)
04/10/2011,10:30:00-12:30:00	Reunião	Projeto de Pesquisa para o INF-UFRGS	Compesq - Rafael Bordini	Este encontro tem por objetivo discutir informalmente idéias para um projeto de pesquisa que integre o maior número possível de pesquisadores do INF-UFRGS, com temas inovadores e de impacto social e econômico. Todos estão convidados a discutir idéias para sobre o futuro da computação e como o INF-UFRGS contribuirá de forma proeminente para ele. 	Sala 106 - prédio 67
04/10/2011,13:30:00-16:30:00	Palestra	Oficina de Planejamento de Carreira	Cláudia Sampaio 	Esta oficina pretende apresentar conceitos relacionados ao planejamento de carreira, promovendo uma reflexão sobre a construção do projeto profissional durante o percurso universitário. Instrumentalizando os estudantes para iniciarem o seu planejamento de carreira. 	Sala 106 - prédio 67
04/10/2011,13:30:00-16:30:00	Palestra	Who believes in audio quality? - Making circuits that the industry don't sell! 	Marcelo Johann 	Nesta palestra serão mostrados o projeto doméstico e a alteração de circuitos para gravação e reprodução de áudio digital de alta qualidade, e será feita uma extensa reflexão sobre diversos aspectos que tentam explicar porque a indústria não os vende. A apresentação deve iniciar com a audição de alguns trechos de diversos estilos musicais gravados e reproduzidos através de circuitos não comerciais, que servirão como referência de qualidade geral e para observar algumas características sonoras. Serão vistos exemplos dos limites e da simplicidade dos componentes que estão presentes em equipamentos caros de gravação, que é o que torna possível que sejam superados com modificações ou projetos dedicados às vezes bastante simples. Pretende-se discutir em uma perspectiva global a evolução dos equipamentos eletrônicos de áudio, cobrindo aspectos técnicos, históricos, econômicos, artísticos, que juntos nos permitem situar melhor a importância do conceito de qualidade subjetiva e compreender a visão dos diferentes perfis de profissionais sobre a matéria. Dentre as várias pessoas e empresas que desempenharam e desempenham um papel fundamental no áudio de alta-qualidade que serão citadas, iniciaremos dado destaque à chamada era de ouro do áudio Hi-Fi, com a história do inglês Gilbert Briggs, da Wharfedale, posteriormente com o exemplo de vida dedicada do perito de captação sonora Marcello Sfoggia, de Porto Alegre, e finalmente contando como o autor dessa palestra se envolveu nesse meio. Essas histórias servem para contextualizar o assunto e mostrar que esses projetos e a visão associadas nasceram da necessidade de resolver problemas concretos significativos, não de mera curiosidade. Finalmente, serão discutidos mais detalhes e informações sobre os circuitos analógicos e digitais envolvidos que possam ser do interesse dos estudantes de engenharia ou computação que desejam trabalhar com áudio. 	Auditório Prédio 67
05/10/2011,08:30:00-10:30:00	Minicurso	Desenvolvimento de Games com Unity3D- PRIMEIRA PARTE (2 horas)	Raphael Baldi e Mauricio Longoni - Aquiris Game Studio	A Aquiris Game Studio traz para a semana acadêmica um mini curso de desenvolvimento de games usando a engine Unity3D, onde serão abordados os aspectos básicos de funcionamento da ferramenta:- interface do editor; - conceitos de hierarquia, GameObjects e Components;  - Tags, layers, iluminação, materiais, shading; - linguagens de scripts, criando componentes customizados; - Aplicando comportamentos aos objetos; - Aplicando física aos games; - Desenvolvendo para as diferentes plataformas (PC/ Mac /iOS/ Android/ XBOX360 /PS3); - Build e Publicação. Link para incrição: http://tinyurl.com/semac11-games	laboratorio
